Config params:
{'INPUT_DIR': '../input/', 'MODELS_DIR': '../models/', 'SUBMISSIONS_DIR': '../submissions/', 'batch_size': 32, 'learning_rate': 0.001, 'n_epochs': 20, 'n_workers': 8, 'early_stopping_patience': 6, 'steplr_step_size': 3, 'n_folds': 5, 'images_size': '256x256', 'model_name': 'tf_efficientnet_b3_ns', 'experiment_name': 'exp_train_03', 'use_test_labels': False, 'seed': 42, 'device': 'cuda:0', 'folds_train_file': 'train_folds'}
Fold: 0
Epoch 13: | Loss: 51.2405 | Val roc_auc: 0.8905 | Training time: 0:02:41
Epoch 14: | Loss: 52.4661 | Val roc_auc: 0.8910 | Training time: 0:02:41
Epoch 15: | Loss: 51.7839 | Val roc_auc: 0.8907 | Training time: 0:02:41
Epoch 16: | Loss: 51.5269 | Val roc_auc: 0.8909 | Training time: 0:02:41
Epoch 17: | Loss: 51.3728 | Val roc_auc: 0.8880 | Training time: 0:02:42
Epoch 18: | Loss: 51.6110 | Val roc_auc: 0.8909 | Training time: 0:02:41
Epoch 19: | Loss: 52.3321 | Val roc_auc: 0.8824 | Training time: 0:02:41
Epoch 20: | Loss: 50.8866 | Val roc_auc: 0.8857 | Training time: 0:02:41
Early stopping. Best Val roc_auc: 0.8910
Fold: 4
Epoch 01: | Loss: 103.3805 | Val roc_auc: 0.7846 | Training time: 0:02:41
Epoch 02: | Loss: 60.8702 | Val roc_auc: 0.7994 | Training time: 0:02:41
Epoch 03: | Loss: 58.2068 | Val roc_auc: 0.8233 | Training time: 0:02:41
Epoch 04: | Loss: 55.4877 | Val roc_auc: 0.8441 | Training time: 0:02:42
Epoch 05: | Loss: 54.8538 | Val roc_auc: 0.8521 | Training time: 0:02:41
Epoch 06: | Loss: 54.3122 | Val roc_auc: 0.8576 | Training time: 0:02:41
Epoch 07: | Loss: 52.7613 | Val roc_auc: 0.8617 | Training time: 0:02:41
Epoch 08: | Loss: 52.3592 | Val roc_auc: 0.8597 | Training time: 0:02:41
Epoch 09: | Loss: 52.5820 | Val roc_auc: 0.8588 | Training time: 0:02:41
Epoch 10: | Loss: 51.4698 | Val roc_auc: 0.8601 | Training time: 0:02:42
Epoch 11: | Loss: 51.4792 | Val roc_auc: 0.8612 | Training time: 0:02:42
Epoch 12: | Loss: 52.4252 | Val roc_auc: 0.8594 | Training time: 0:02:41
Epoch 13: | Loss: 51.8705 | Val roc_auc: 0.8609 | Training time: 0:02:41
Early stopping. Best Val roc_auc: 0.8617
